"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3"
"Tre Mann","OKC",22,67,31,36,1183.4,517,197,501,81,257,42,55,27,128,155,120,62,40,11,99,974,1,1
"Admiral Schofield","ORL",26,37,14,23,451.3,155,55,122,24,74,21,23,23,39,62,31,16,8,5,61,299,0,0
"Bol Bol","ORL",23,70,26,44,1505.4,634,261,478,30,113,82,108,69,336,405,69,112,30,85,92,1457,6,0
"Caleb Houstan","ORL",20,51,20,31,812.2,193,66,182,46,136,15,18,34,65,99,30,18,12,7,63,396,0,0
"Chuma Okeke","ORL",24,27,8,19,518,128,43,122,26,86,16,21,26,70,96,37,17,19,11,40,372,0,0
"Cole Anthony","ORL",23,60,28,32,1551.8,781,277,610,75,206,152,170,47,241,288,235,91,37,31,158,1592,1,0
"Franz Wagner","ORL",21,80,33,47,2608.7,1485,542,1118,130,360,271,322,70,259,329,283,167,77,17,183,2419,2,0
"Gary Harris","ORL",28,48,22,26,1184.4,397,138,307,94,218,27,30,21,77,98,59,28,45,12,93,746,0,0
"Goga Bitadze","ORL",23,38,13,25,456.8,167,69,125,6,26,23,42,61,76,137,39,22,16,26,64,494,2,0
"Jalen Suggs","ORL",22,53,20,33,1245.9,524,186,444,66,202,86,119,55,106,161,155,94,67,27,120,1138,0,0
"Jay Scrubb","ORL",22,2,1,1,30.1,13,5,7,2,2,1,2,0,6,6,1,3,2,0,2,25,0,0
"Jonathan Isaac","ORL",25,11,8,3,124,55,22,53,6,15,5,9,15,29,44,6,4,14,4,5,167,0,0
"Kevon Harris","ORL",26,34,12,22,457,141,47,107,16,43,31,41,28,42,70,16,21,17,5,53,294,0,0
"Markelle Fultz","ORL",25,60,29,31,1777.9,837,349,679,27,87,112,143,69,165,234,341,139,87,26,131,1829,3,0
"Michael Carter-Williams","ORL",31,4,1,3,44.5,17,6,14,1,3,4,7,1,4,5,7,4,1,1,5,36,0,0
"Moritz Wagner","ORL",26,57,27,30,1109.5,600,198,396,51,163,153,182,69,190,259,84,68,37,13,136,1119,3,0
"Paolo Banchero","ORL",20,72,31,41,2429.7,1437,479,1122,85,285,394,534,84,413,497,269,200,60,39,160,2534,14,0
"Wendell Carter Jr.","ORL",24,57,26,31,1689.5,868,322,613,80,225,144,195,120,377,497,132,106,30,33,159,1745,21,0
"Danuel House Jr.","PHI",30,56,38,18,807,268,93,197,37,110,45,60,9,85,94,44,26,14,9,69,490,0,0
"De'Anthony Melton","PHI",25,77,50,27,2149.8,780,277,651,157,403,69,87,69,243,312,197,102,126,41,191,1849,0,0
"Dewayne Dedmon","PHI",33,38,23,15,426.2,199,77,151,12,39,33,49,34,100,134,26,25,9,19,75,458,0,0
"Furkan Korkmaz","PHI",25,37,24,13,353.5,140,48,111,18,46,26,36,6,36,42,22,24,10,3,18,238,0,0
"Georges Niang","PHI",30,78,51,27,1511.8,637,222,502,154,384,39,45,19,166,185,77,54,31,14,145,1056,0,0
